Latitude (decimal degrees): 48.351
Longitude (decimal degrees): 10.164
Elevation (m): 492.0
Irradiance Time Offset (h): 0.1798
month,year
1,2021
2,2011
3,2021
4,2017
5,2012
6,2009
7,2015
8,2014
9,2009
10,2017
11,2007
12,2018
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20210101:0000,0.21,89.02,0.0,-0.0,0.0,291.08,1.52,209.0,94060.0
20210101:0100,-0.29,88.12,0.0,-0.0,0.0,284.89,1.48,220.0,94060.0
20210101:0200,-0.8,87.22,0.0,-0.0,0.0,278.7,1.44,216.0,94100.0
20210101:0300,-1.31,86.32,0.0,-0.0,0.0,272.51,1.4,213.0,94120.0
20210101:0400,-1.82,85.42,0.0,-0.0,0.0,266.33,1.35,215.0,94120.0
20210101:0500,-2.33,84.52,0.0,-0.0,0.0,260.14,1.31,218.0,94120.0
20210101:0600,-2.84,83.62,0.0,-0.0,0.0,253.95,1.27,229.0,94160.0
20210101:0700,-3.34,82.72,0.0,-0.0,0.0,247.76,1.23,242.0,94180.0
20210101:0800,-2.6,95.55,47.0,34.1,43.0,249.65,1.17,244.0,94230.0
20210101:0900,-0.39,95.6,95.0,27.15,89.0,253.15,0.62,248.0,94280.0
20210101:1000,1.15,85.25,77.0,0.0,77.0,280.6,0.28,282.0,94310.0
20210101:1100,1.7,85.3,138.0,21.96,131.0,278.3,0.34,34.0,94310.0
20210101:1200,2.24,82.15,148.0,42.45,135.0,296.85,0.9,55.0,94260.0
20210101:1300,2.7,79.1,104.0,19.77,99.0,301.3,1.17,63.0,94250.0
20210101:1400,2.41,82.15,72.0,49.25,64.0,283.7,1.24,54.0,94270.0
20210101:1500,1.72,85.3,2.0,0.0,2.0,277.1,1.52,42.0,94300.0
20210101:1600,0.67,92.05,0.0,-0.0,0.0,276.15,1.79,38.0,94340.0
20210101:1700,0.16,92.0,0.0,-0.0,0.0,282.55,1.66,38.0,94380.0
20210101:1800,-0.37,92.0,0.0,-0.0,0.0,271.9,1.66,39.0,94420.0
20210101:1900,-0.95,99.4,0.0,-0.0,0.0,273.65,1.45,51.0,94450.0
20210101:2000,-0.94,99.4,0.0,-0.0,0.0,282.75,1.52,54.0,94470.0
20210101:2100,-0.95,99.4,0.0,-0.0,0.0,285.45,1.45,51.0,94500.0
20210101:2200,-1.02,99.4,0.0,-0.0,0.0,284.85,1.52,51.0,94520.0
20210101:2300,-1.29,95.6,0.0,-0.0,0.0,275.4,1.38,56.0,94500.0
20210102:0000,-1.43,99.4,0.0,-0.0,0.0,275.75,1.38,49.0,94530.0
20210102:0100,-1.47,99.4,0.0,-0.0,0.0,277.25,1.38,42.0,94520.0
20210102:0200,-1.62,95.6,0.0,-0.0,0.0,274.05,1.52,38.0,94530.0
20210102:0300,-1.8,95.6,0.0,-0.0,0.0,268.2,1.72,33.0,94550.0
20210102:0400,-1.7,95.6,0.0,-0.0,0.0,276.75,1.86,32.0,94530.0
20210102:0500,-1.71,95.6,0.0,-0.0,0.0,274.2,1.93,36.0,94550.0
20210102:0600,-1.44,99.4,0.0,-0.0,0.0,292.4,2.0,41.0,94540.0
20210102:0700,-0.64,95.6,0.0,-0.0,0.0,293.95,2.0,45.0,94570.0
20210102:0800,-0.76,95.6,61.0,118.95,47.0,278.5,2.14,41.0,94600.0
